Below is a list of poisons for a 5e D&D campaign set in Faerun. Each line is a comma separated poison entry consisting of: name, type of poison, Constitution save required to overcome the poison, effects if the save is failed, and duration.
Read through all of the poisons and be ready to answer questions about them. Any time I ask a question, reread this document to ensure you will answer correctly.
The list starts below this line:
A Glimpse of Time,Injury,18,"You see a horrifying vision of your own death at the hands of the poisoner; you become paralysed for 1d4 rounds, then make another saving throw; if you fail you become frightened of the poisoner for the duration",1d4 rounds then 1 hour
Animal Charm,Inhaled,12,Charmed by one breed of animal (unknown at time) determined by the poisoner,2d6 days
Animal Terror,Inhaled,12,Frightened of one breed of animal (unknown at time) determined by the poisoner,2d6 days
Archer's Agony,Injury,12,"It hurts to wield your weapon, and you must take 1d4 damage on each attack roll; if this brings HP to 0 you are rendered unconscious",1 hour
Archer's Bane,Injury,15,Your elbows and shoulders develop tremendous pain making all ranged weapons deal half damage,1 hour
Assassin's Agony,Contact,12,On a failed save take 1d12 poison damage and remain poisoned for the duration; on a pass take half damage only,24 hours
Auril's Bite,Injury,10,Ice spreads through your veins; make one saving throw at the beginning of each turn until you pass or fail three; three failures results in paralysis,1 hour
Azuth's Forgetting,Injury; Inhaled,15,You forget how to perform all magic except for cantrips,1 hour; 24 hours
Azuth's Weakness,Injury; Inhaled,15,"You become more susceptible to attack from magic; temporarily lose resistance to magical damage, or develop vulnerability to magical damage",1 hour; 24 hours
2,Bandit's Bane Inhaled 12 On inhalation roll 2d12 damage and remain poisoned for the 48 hours duration,Barbarian's Bane,Injury; Inhaled,12
You are physically weakened for the duration; -2 STR score and disadvantage on all STR saves,1 hour; 24 hours,Bark Skin,Injury,12
"Roll saving throw on each turn for the duration; each failure is +1 effect, each pass -1. If the player reaches +3 effect, become petrified as wood, can be harmed only by fire damage (vulnerable); -1 ends the effects",1 hour,Basilisk Breath,Inhaled,15
You begin to petrify; make saving throws until you pass or fail three in total; if you fail three you are petrified for the duration,24 hours,Basilisk Tears,Injury,18
At the start of each turn make a saving throw; fail and take 2d8 poison damage and halve your movement speed for that turn; three failures in a row and become petrified,24 hours or until 3 passes in a row,Berserker's Agony,Injury,12
"It hurts to wield your weapon, and you must take 1d4 damage on each attack roll; if this brings HP to 0 you are rendered unconscious",1 hour,Berserker's Rage,Inhaled,15
Instantly enraged with a blood lust that forces you to attack anything in your speed movement radius,Once berserker mode ends,Beshaba's Curse,Injury; Inhaled,15
"Bad luck and misfortune hang around your neck like a collar made of lead. For the duration, all saving throws or checks have +3 applied, and if you roll 1, 2, or 3 on the d20 it is counted as a critical fail",1 hour; 24 hours,Blurred Vision,Inhaled,15
"Your vision is reduced, and only clear up to five feet and blurred up to 10 feet; you are unable to see beyond 10 feet. You are unable to see in any light other than bright light. Automatically fail all checks based on sight",24 hours,3,,Brightest Fright
